trial,state,loss,l_arm,w_arm,r_sep,r_ohms,s11_db,isolation_db,output_return_loss_db,excess_loss_db,amplitude_imbalance_db,phase_imbalance_deg,min_s11_db,f_min_s11_ghz,meets_spec,solve_s,cached
0,COMPLETE,2.51834,4.60668,0.2753,1.1,100.0,-17.0671,-20.0365,-21.6851,0.3572,0.0184,0.1196,-21.61,12.6875,False,0.0,True
1,COMPLETE,8.44968,4.63363,0.35423,1.76442,114.48832,-14.0373,-15.386,-25.2466,0.5416,0.0227,0.0674,-38.101,13.195,False,62.4,False
2,COMPLETE,11.96883,4.30775,0.33324,1.50014,149.1773,-12.7233,-13.36,-18.7439,0.5601,0.0298,0.4428,-31.118,14.4275,False,43.2,False
3,COMPLETE,10.66472,5.71381,0.25377,2.06676,112.88949,-12.4824,-22.2114,-12.7736,0.8804,0.0731,0.1281,-18.293,10.585,False,56.5,False
4,COMPLETE,5.57143,4.68371,0.41795,0.91366,68.71293,-14.2694,-20.3123,-15.8434,0.402,0.0073,0.0148,-19.485,13.34,False,52.2,False
5,COMPLETE,25.06677,3.25729,0.38979,2.04505,147.00121,-7.6365,-8.3029,-23.2595,1.3252,0.0106,0.1786,-9.6,14.5,False,57.7,False
6,COMPLETE,11.28619,5.75275,0.37966,1.53837,138.05292,-15.9047,-12.3484,-13.6621,0.5606,0.0328,0.4029,-24.295,11.0925,False,41.0,False
7,COMPLETE,14.99004,3.51261,0.33144,1.02937,154.46689,-11.66,-11.3537,-19.1767,0.5531,0.0213,0.0959,-17.274,14.5,False,45.4,False
8,COMPLETE,4.05801,4.56342,0.26322,1.22329,137.42337,-15.7904,-18.1641,-16.3291,0.4062,0.0111,0.1633,-20.054,12.905,False,46.9,False
9,COMPLETE,1.7034,4.39236,0.30979,0.83006,121.76355,-17.9555,-19.4934,-19.7869,0.3188,0.0099,0.0647,-27.425,12.8325,False,44.3,False
10,COMPLETE,15.67574,3.25759,0.31585,0.90981,106.76577,-11.0282,-11.3613,-25.9106,0.5908,0.0074,0.0086,-15.16,14.5,False,45.3,False
11,COMPLETE,0.49112,4.70062,0.32158,0.86519,108.76972,-18.9642,-22.2035,-23.3568,0.3002,0.0088,0.2202,-48.222,12.47,False,51.0,False
12,COMPLETE,12.80247,5.61218,0.21493,0.87473,134.49652,-12.2845,-15.3309,-12.618,0.6241,0.0263,0.3858,-16.184,9.86,False,45.4,False
13,COMPLETE,0.12236,4.97523,0.3419,0.93185,126.7027,-21.2755,-17.5566,-19.4978,0.319,0.0122,0.0551,-32.957,11.8175,False,51.2,False
14,COMPLETE,9.05584,5.20866,0.43967,0.82378,142.7848,-16.4061,-12.3131,-19.0567,0.3861,0.0101,0.4656,-17.76,11.6725,False,52.3,False
15,COMPLETE,10.59613,5.62848,0.3255,0.86722,118.11042,-14.2747,-13.0124,-16.4122,0.4897,0.0628,0.1322,-35.331,10.0775,False,45.3,False
16,COMPLETE,0.99408,5.30189,0.35861,1.4942,79.79964,-18.5622,-21.8085,-19.8085,0.3863,0.0109,0.0635,-30.564,12.035,False,51.1,False
17,COMPLETE,13.59631,4.37371,0.24119,2.23216,101.99511,-11.7699,-13.5613,-20.918,0.7908,0.0796,0.814,-15.153,13.485,False,50.4,False
18,COMPLETE,16.738,3.87764,0.42291,1.27312,125.1871,-10.2388,-11.5108,-24.6896,0.6959,0.0076,0.1478,-16.034,14.5,False,45.4,False
19,COMPLETE,14.36812,5.73609,0.17415,1.80851,67.4024,-10.1771,-15.1831,-16.6284,0.9611,0.0577,0.5669,-13.142,9.715,False,49.2,False
20,COMPLETE,20.23164,3.4937,0.37613,1.67504,72.56549,-9.047,-10.1705,-16.1995,0.8913,0.0185,0.3454,-12.122,14.5,False,50.1,False
21,COMPLETE,26.50777,5.48905,0.32151,1.52866,85.60142,-6.6118,-12.122,-12.8515,1.8655,0.0325,0.1469,-29.797,10.44,False,52.4,False
22,COMPLETE,7.23703,5.27237,0.42769,1.93659,80.59245,-12.9569,-18.858,-17.4855,0.5999,0.0043,0.0399,-22.596,12.6875,False,57.5,False
23,COMPLETE,7.71454,4.57869,0.33774,1.51506,70.07777,-14.1971,-15.8948,-18.2223,0.4518,0.0088,0.0392,-35.999,13.7025,False,50.9,False
24,COMPLETE,14.7495,4.29625,0.16161,1.05915,71.61314,-10.9308,-12.7781,-22.3641,0.6884,0.0106,0.1367,-11.288,12.76,False,47.6,False
25,COMPLETE,2.42117,4.7625,0.35358,1.05446,99.68064,-17.1274,-20.5144,-26.9782,0.3398,0.0197,0.0913,-27.77,12.76,False,42.9,False
26,COMPLETE,12.13987,4.1012,0.15343,0.87473,121.03161,-10.6383,-17.332,-13.7974,0.7253,0.0171,0.1977,-10.742,12.18,False,54.3,False
27,COMPLETE,8.59296,5.75545,0.31315,1.25622,62.81576,-13.9749,-15.2567,-21.4795,0.5256,0.0213,0.0732,-41.737,10.3675,False,46.3,False
28,COMPLETE,3.72493,5.22813,0.39915,1.35575,87.58994,-15.9696,-19.265,-19.4978,0.3915,0.0098,0.1313,-22.305,12.325,False,46.2,False
29,COMPLETE,20.75607,3.45649,0.24878,2.02948,70.42911,-9.1385,-9.6616,-22.0026,0.9612,0.0343,0.1802,-11.732,14.5,False,44.4,False
